start_date,end_date,1003_slope,1003_intercept,5003_slope,5003_intercept,3003_slope,3003_intercept,Note,
2017-11-01/00:00:00-0600,2018-03-01/00:00:00-0700,0.5703,2.3418,0.697706164,1.241653337,0.4860,2.9252,Winter,
2018-03-01/00:00:00-0700,2018-06-01/00:00:00-0600,0.3696,3.7520,0.3199,3.3628,0.4812,2.9235,Spring,
2018-06-01/00:00:00-0600,2018-07-04/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2018-07-04/00:00:00-0600,2018-07-05/00:00:00-0600,2.4414,-6.3414,1.3340,-4.8112,2.3238,2.9909,Fireworks,
2018-07-05/00:00:00-0600,2018-07-24/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2018-07-24/00:00:00-0600,2018-07-25/00:00:00-0600,2.4414,-6.3414,1.3340,-4.8112,2.3238,2.9909,Fireworks,
2018-07-25/00:00:00-0600,2018-11-01/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2018-11-01/00:00:00-0600,2019-03-01/00:00:00-0700,0.5703,2.3418,0.697706164,1.241653337,0.4860,2.9252,Winter,
2019-03-01/00:00:00-0700,2019-06-01/00:00:00-0600,0.3696,3.7520,0.3199,3.3628,0.4812,2.9235,Spring,
2019-06-01/00:00:00-0600,2019-07-04/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2019-07-04/00:00:00-0600,2019-07-05/00:00:00-0600,2.4414,-6.3414,1.3340,-4.8112,2.3238,2.9909,Fireworks,
2019-07-05/00:00:00-0600,2019-07-24/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2019-07-24/00:00:00-0600,2019-07-25/00:00:00-0600,2.4414,-6.3414,1.3340,-4.8112,2.3238,2.9909,Fireworks,
2019-07-25/00:00:00-0600,2019-11-01/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2019-11-01/00:00:00-0600,2020-03-01/00:00:00-0700,0.5703,2.3418,0.697706164,1.241653337,0.4860,2.9252,Winter,
2020-03-01/00:00:00-0700,2020-06-01/00:00:00-0600,0.3696,3.7520,0.3199,3.3628,0.4812,2.9235,Spring,
2020-06-01/00:00:00-0600,2020-07-04/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2020-07-04/00:00:00-0600,2020-07-05/00:00:00-0600,2.4414,-6.3414,1.3340,-4.8112,2.3238,2.9909,Fireworks,
2020-07-05/00:00:00-0600,2020-07-24/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2020-07-24/00:00:00-0600,2020-07-25/00:00:00-0600,2.4414,-6.3414,1.3340,-4.8112,2.3238,2.9909,Fireworks,
2020-07-25/00:00:00-0600,2020-11-01/00:00:00-0600,0.4372,4.1279,0.3056,3.6560,0.5208,4.8943,Wildfire,
2020-11-01/00:00:00-0600,2021-03-01/00:00:00-0700,0.5703,2.3418,0.697706164,1.241653337,0.4860,2.9252,Winter,
